Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
50000,4.1870985,-0.060523793,1202.4,-31.851199780963363,-31.851199780963363,2.5610867,0.025295418,0.00029922993,0.19974333,0.0004987422,1.0
100000,4.136202,-0.33838308,1202.3333333333333,-31.703475034219167,-31.703475034219167,32.771988,0.02485399,0.0002978445,0.19928151,0.00049647933,1.0
150000,4.141327,-0.4388868,1202.35,-46.090847372449936,-46.090847372449936,54.357155,0.023524439,0.00029630572,0.19876859,0.00049396604,1.0
200000,4.1454277,-0.51859176,1202.3181818181818,-42.686953562735155,-42.686953562735155,55.15761,0.02552239,0.00029476575,0.19825526,0.0004914507,1.0
250000,4.1358905,-0.6175901,1202.35,-106.60844219168648,-106.60844219168648,245.73697,0.025322506,0.0002932239,0.19774128,0.00048893236,1.0
300000,4.1231203,-0.49499992,1202.3333333333333,-150.0170112906822,-150.0170112906822,601.8414,0.024344156,0.00029168482,0.19722827,0.00048641852,1.0
350000,4.0665517,-0.31581533,1202.3,-37.14712319970131,-37.14712319970131,70.59639,0.024390873,0.00029014584,0.19671527,0.0004839049,1.0
400000,4.0569983,-0.14116053,1202.3636363636363,-87.2342281644774,-87.2342281644774,340.19394,0.023210496,0.00028876058,0.19625348,0.0004816422,1.0
450000,3.9982843,-0.002224273,1202.3,-109.3031394550713,-109.3031394550713,275.58615,0.022577994,0.00028737567,0.19579189,0.00047938022,1.0
500000,3.9592507,-0.13640538,1202.35,-384.23632086850705,-384.23632086850705,1273.6272,0.024069337,0.0002858368,0.19527891,0.00047686667,1.0
550000,3.8871317,-0.3162478,1202.3181818181818,-285.43072995877907,-285.43072995877907,845.0086,0.024722353,0.0002842974,0.19476578,0.0004743523,1.0
600000,3.9093716,-0.29353282,1202.35,-335.06847485322504,-335.06847485322504,1045.3944,0.023356538,0.00028275495,0.19425163,0.00047183293,1.0
650000,3.840925,-0.35573083,1202.3333333333333,-372.7644462439986,-372.7644462439986,1366.7874,0.026901111,0.00028121582,0.19373861,0.00046931914,1.0
700000,3.7700334,-0.5779644,1202.3333333333333,-315.93864261669415,-315.93864261669415,960.9684,0.026262159,0.00027967693,0.19322562,0.0004668055,1.0
750000,3.8007367,-0.3990477,1202.3333333333333,-493.41825300863104,-493.41825300863104,2223.1943,0.025740366,0.00027813626,0.19271208,0.00046428916,1.0
