Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
50000,4.197979,7.0171866,10.466169,0.022739276,0.00029922335,0.19974113,0.0004987315,1202.6666666666667,-29.959868931728934,-29.959868931728934,1.0
100000,4.1772523,4.9072466,6.348501,0.025728729,0.00029782933,0.19927645,0.00049645454,1202.3,-23.510044462047517,-23.510044462047517,1.0
150000,4.104096,3.778887,13.848648,0.023681933,0.00029628654,0.19876218,0.0004939347,1202.2727272727273,-19.078447088937867,-19.078447088937867,1.0
200000,4.070385,2.9688125,2.0761402,0.025918718,0.0002947429,0.19824764,0.0004914134,1202.3,-5.735559627041221,-5.735559627041221,1.0
250000,4.037573,2.169248,48.613106,0.025931219,0.00029319857,0.19773284,0.000488891,1202.3333333333333,-25.084188223062526,-25.084188223062526,1.0
300000,3.9877868,1.5943441,14.348396,0.023563696,0.0002916461,0.19721538,0.00048635527,1202.3333333333333,-17.321312995538825,-17.321312995538825,1.0
350000,3.8775153,1.0697486,3.4681756,0.025613451,0.00029025183,0.19675061,0.00048407802,1202.3333333333333,-8.579128225112246,-8.579128225112246,1.0
400000,3.7859006,0.83357036,58.55604,0.024674302,0.00028886198,0.19628732,0.0004818078,1202.35,-28.288225538097322,-28.288225538097322,1.0
450000,3.7254658,0.5016569,44.66164,0.023821125,0.00028731764,0.19577256,0.00047928546,1202.3636363636363,-26.37835964949971,-26.37835964949971,1.0
500000,3.678807,0.30000237,216.83078,0.024750262,0.00028577482,0.1952583,0.0004767656,1202.3,-67.38003736505142,-67.38003736505142,1.0
550000,3.6346753,0.078986645,843.925,0.023228401,0.0002842321,0.19474402,0.0004742457,1202.3809523809523,-168.9822984420976,-168.9822984420976,1.0
600000,3.540175,0.04564597,454.54962,0.0227266,0.0002826872,0.19422904,0.00047172233,1202.3,-121.82354914061725,-121.82354914061725,1.0
650000,3.3939962,-0.114722565,2699.4224,0.024746306,0.00028113977,0.19371323,0.0004691949,1202.3636363636363,-281.90562905229274,-281.90562905229274,1.0
700000,3.275485,0.04162478,96.961655,0.021616066,0.0002797531,0.19325103,0.00046693,1202.3,-66.20960376252022,-66.20960376252022,1.0
750000,3.1456447,0.09851268,284.58463,0.023213932,0.00027836792,0.19278929,0.00046466757,1202.3333333333333,-79.1693918554201,-79.1693918554201,1.0
800000,2.9343467,0.17163946,129.26529,0.023425128,0.00027682373,0.1922746,0.00046214546,1202.3,-32.58564287237823,-32.58564287237823,1.0
850000,2.842242,0.20345905,563.5461,0.023993904,0.00027527945,0.19175981,0.00045962306,1202.409090909091,-90.49442115950991,-90.49442115950991,1.0
900000,2.5964983,0.21245234,87.6525,0.022316378,0.00027373605,0.19124535,0.0004571022,1202.3,-40.94030169993639,-40.94030169993639,1.0
950000,2.3510776,0.32386252,0.64907724,0.0253932,0.000272193,0.19073097,0.00045458175,1202.3,3.372712779417634,3.372712779417634,1.0
1000000,2.393647,0.3352302,9.846857,0.023113996,0.00027064496,0.19021499,0.0004520534,1202.304347826087,-4.9405513598543145,-4.9405513598543145,1.0
1050000,2.1799233,0.30162397,2.1362953,0.02350791,0.00026925546,0.18975182,0.0004497839,1202.4,-8.281373940967024,-8.281373940967024,1.0
